yr,sero,strainID,coord1,coord2,is_missAG
2000,2,05529/00,-3.313764365327976,-1.6823896800289413,0
2000,2,05855/00,-3.4347179898683105,-1.608981301824706,0
2000,2,06013/00,-2.833910567832097,-1.5442153987251197,0
2001,2,02860/01,-1.8821697147814984,-0.872158335526279,0
2001,2,02900/01,-2.684286760326353,-1.8114125846366504,0
2001,2,03244/01,-4.204544928536771,-2.0380672431675313,0
2001,2,03693/01,-3.030111749089255,-1.854282841790365,0
2001,2,06096/01,-1.0227621363831365,-1.5528491041605037,0
2002,2,00060/02,-2.38322910839165,-2.2021699989098327,0
2002,2,01050/02,-3.191349302358188,-2.081243670434048,0
2002,2,02678/02,-3.5350723277478804,-1.877762461662305,0
2002,2,02934/02,-3.526943666366719,-1.8991908198701728,0
2003,2,01082/03,-1.2267608891529524,-1.6585901121272997,0
2004,2,00159/04,-3.2853380499721156,-1.5214233693363786,0
2004,2,00248/04,-1.1054407681731384,-1.8994938140040136,0
2004,2,00560/04,-2.1898672850903327,-1.9731929321068131,0
2004,2,00617/04,-3.6834727462432855,-2.2139214011898956,0
2004,2,01224/04,-1.7676059450282944,-1.5454084104087202,0
2004,2,01462/04,-2.2327203344404034,-1.1233997334184158,0
2004,2,01646/04,-1.7613603322534972,-0.7101641027946138,0
2004,2,01666/04,-2.3908577510482893,-1.8887788448422909,0
2005,2,01495/05,-2.936248243657716,-2.0045143770711724,0
2005,2,01574/05,-3.5542921359200728,-2.045842262995561,0
2006,2,00036/06,-2.444032888988042,-1.5450769510720292,0
2006,2,00127/06,-3.143074446208538,0.8309657357769047,0
2006,2,00444/06,-3.2113742931584235,-1.9951674418732133,0
2006,2,00525/06,-2.325282696530308,-1.3119837446325018,0
2006,2,00586/06,-2.126172034722148,-1.141895282779135,0
2006,2,00697/06,-2.757637785770443,-1.6034680597712825,0
2006,2,02337/06,-4.108164021575206,-2.042158360985492,0
2007,2,00408/07,-1.8479096743390264,-2.451662852978785,0
2007,2,00496/07,-0.4892533137647832,-1.919019757202033,0
2007,2,00511/07,-3.736571263943892,-1.8086385522668131,0
2007,2,02039/07,-1.861870169894721,-1.865198776820624,0
2007,2,02071/07,-3.125578251472536,-1.2147204441084445,0
2008,2,"NA",-1.8548899221168738,-2.1584308148997047,1
2008,2,"NA",-3.493897954751859,-1.9373427285751912,1
2008,2,"NA",-2.572457977006447,-1.44110892071911,1
2008,2,"NA",-2.8664343148926497,-1.6553185424656809,1
2009,2,30149/09,-2.9799384453752413,-1.8279763659956632,1
2009,2,30155/09,-1.8548899221168738,-2.1584308148997047,1
2009,2,30182/09,-2.4026411402499503,-1.4609082085923826,1
2009,2,30249/09,-3.2167233590527573,-1.677071052808997,1
2009,2,30395/09,-3.625619233891872,-0.6055963126042936,1
2010,2,00791/10,-3.154151893441462,-1.7851692729974638,0
2010,2,01066/10,-2.748502597592059,-1.6607852901181133,0
2010,2,01363/10,-2.4799995839695925,-1.6098326725522634,0
2010,2,01549/10,-3.2592283016403107,-2.0555800147529735,0
2011,2,00220/11,-2.456280042526756,-1.7872185710039152,0
2011,2,00322/11,-2.765004113070738,-2.558458351422748,0
