yr,sero,strainID,coord1,coord2,coord3,is_missAG
2000,2,06013/00,0.34852963938169546,4.087089491787911,0.1196391670334448,0
2001,2,02860/01,1.0643489423248471,2.2504606983641113,-0.3228336396125629,0
2001,2,02900/01,0.4382007477856386,3.9600327639353674,-0.1949520100955539,0
2001,2,03244/01,0.6456205727054747,5.7799654784026115,-0.03793812734469167,0
2001,2,03693/01,-0.5810279199448428,4.575245856224406,0.30170264917903994,0
2001,2,06096/01,-0.3534240515745673,2.1975888897371014,0.00333029705844805,0
2002,2,00060/02,-0.7247956053019523,3.9991174813857535,0.00908851458192167,0
2002,2,01050/02,0.7982453457395698,4.529043316764664,-0.245464759968168,0
2002,2,02678/02,0.5247067270245029,4.978481953795264,0.0921692900986279,0
2002,2,02934/02,-0.5229330289065521,5.10584702511817,0.4284114181618474,0
2003,2,01082/03,0.5076911434221576,1.66558779698474,-1.4305561756709368,0
2004,2,00159/04,1.7376505176130186,3.931479585610448,-0.4738689070214076,0
2004,2,00248/04,-0.10098123218853368,2.360672606368216,-0.5215145598608196,0
2004,2,00560/04,0.6770953428299236,3.238863324201359,-0.7942047549236396,0
2004,2,00617/04,-0.9318023246457448,5.4376190635528285,0.2609604948016539,0
2004,2,01224/04,0.8541296806303543,2.453150169437888,-0.7539037287771403,0
2004,2,01462/04,1.198542573303358,2.798955523927606,-0.2782000396224567,0
2004,2,01646/04,0.1837571246943135,2.397729307477661,0.29639800943573497,0
2004,2,01666/04,0.09727441725264815,3.768541032674923,-0.05544820505857014,0
2005,2,01495/05,-0.5245949515078819,4.754995744459878,-0.1519137130892998,0
2005,2,01574/05,2.2167721854460787,4.218290079171242,-1.3194631170428472,0
2005,2,00036/06,0.9142746072303478,3.413560706078026,-0.15848945772700931,0
2006,2,00127/06,-1.143877035400339,4.2321232440064325,2.4642998437869688,0
2006,2,00444/06,-0.3672538748409782,4.825602638259636,0.1269593073408537,0
2006,2,00525/06,0.6308390675585378,3.267391829216554,-0.06439872765323776,0
2006,2,00586/06,-0.5952786239146571,3.329506579456977,0.602454726405277,0
2006,2,00697/06,-0.5583740108222749,4.399075273973885,0.18539835010657243,0
2006,2,02337/06,-0.4370056186301192,5.8546474996043,0.15123848959776742,0
2007,2,00408/07,0.0884623013187836,3.4634282702801347,-0.7016631208533063,0
2007,2,00496/07,-0.31487518156995387,1.8736324393618184,-0.6336488280705469,0
2007,2,00511/07,-0.21373313374621955,5.685615556579698,0.38069059534790095,0
2007,2,02039/07,0.8928369607066352,2.772930504618099,-0.9191832475804956,0
2007,2,02071/07,-0.2679639463133896,4.819524465862374,0.6769122957489754,0
2008,2,"NA",0.4033169999633436,3.2829998289819353,-0.525495010907815,1
2008,2,"NA",-0.3092827803006872,5.231067387645177,0.32820904689746044,1
2008,2,"NA",1.1460001787139698,2.9556981217880027,-0.84978443983768015,1
2008,2,"NA",0.017754109159064946,4.3926651431964,0.07946219475093931,1
2009,2,30149/09,0.05507328271778239,4.478722757553641,0.07199661842192456,1
2009,2,30155/09,0.4906496310127094,3.118179387449117,-0.810423184216901,1
2009,2,30182/09,1.0586675476646041,3.120518563320821,-0.5648562665285942,1
2009,2,30249/09,0.09691672446420929,4.561019664410427,0.04341988097226483,1
2009,2,30395/09,-0.7904413270152291,5.043385371805366,1.307769166692368,1
2010,2,00791/10,-0.2604573279727294,4.9699467779198745,0.30524454645180477,0
2010,2,01066/10,0.477400440276543,4.131842876847644,0.01703392950299543,0
2010,2,01363/10,1.4864960277706702,2.973645297425088,-1.0653138054039506,0
